Column_1,Column_2,Column_3,Column_4,Column_5
162,534,341,56,917
374,806,798,430,621
956,501,834,970,285
664,718,116,44,418
925,781,454,203,67
974,118,804,266,188
563,869,743,494,880
723,855,795,315,651
445,756,913,841,671
596,643,206,518,136
403,773,530,102,765
164,435,596,536,17
47,768,447,692,938
364,132,39,194,418
416,760,64,322,720
524,935,799,166,252
595,734,345,871,402
736,659,955,975,846
787,875,0,306,965
994,928,421,907,485
473,901,323,38,203
834,870,479,607,427
762,917,798,933,361
480,104,247,485,408
956,160,31,42,284
736,854,270,34,218
609,507,948,976,538
572,195,525,852,268
105,392,417,229,597
775,134,72,550,303
752,48,669,61,932
111,109,466,5,736
992,857,572,419,912
764,546,400,402,728
861,419,374,883,656
697,168,976,172,350
33,996,862,866,510
112,765,644,981,505
956,828,24,837,400
820,966,462,302,429
79,803,58,321,441
104,652,45,793,535
838,776,162,89,3
877,652,370,266,699
60,63,801,239,558
993,112,672,807,899
311,506,84,407,874
972,980,959,246,225
540,743,670,45,930
282,220,846,972,203
166,129,197,637,706
607,630,941,807,353
276,511,665,301,109
488,234,747,669,560
715,879,348,315,465
423,14,176,390,298
511,381,617,496,189
748,400,630,915,6
604,763,156,142,896
783,767,788,660,167
15,480,118,624,912
275,827,858,551,9
418,585,428,78,793
752,528,500,366,977
944,143,6,261,974
237,252,253,587,539
635,124,846,201,865
113,779,783,192,582
162,624,516,340,20
271,677,510,988,662
200,840,213,546,971
129,951,628,101,457
329,497,550,566,774
707,624,792,584,208
450,639,693,800,994
72,115,811,389,651
227,384,650,587,462
865,223,167,618,377
709,175,154,945,806
318,461,220,542,156
15,38,379,798,935
287,483,794,302,797
938,579,779,203,102
495,360,985,669,818
8,215,105,425,670
828,231,573,913,107
184,844,948,691,152
6,65,163,525,644
261,741,267,395,889
675,194,243,373,373
385,82,239,176,626
589,853,784,13,7
949,70,325,768,660
805,496,317,299,212
895,418,404,761,971
495,78,370,512,877
820,657,114,208,898
315,461,127,382,782
307,784,755,634,352
282,968,559,574,691
839,121,852,835,748
205,865,911,525,949
13,288,178,253,454
751,868,202,493,697
579,615,692,542,515
854,576,193,148,484
57,182,827,399,590
814,199,0,86,827
294,595,687,284,63
472,769,438,533,709
841,52,164,659,203
400,584,683,666,206
278,298,987,171,229
910,784,531,710,933
435,360,863,555,627
832,980,582,110,511
672,499,209,388,584
973,242,563,92,534
501,516,966,8,227
699,736,724,402,742
699,381,701,181,771
846,695,622,935,572
142,433,754,411,922
743,374,194,911,936
409,623,385,845,253
701,331,447,703,565
281,635,119,656,436
562,293,286,2,371
643,51,113,26,371
399,62,909,636,600
370,473,287,733,492
794,305,117,386,639
26,400,845,379,639
664,451,562,192,395
924,418,19,318,675
410,293,118,904,315
5,188,544,174,95
677,299,643,243,367
674,261,957,719,648
623,619,45,867,962
900,9,761,555,660
691,167,75,284,248
612,171,437,643,431
92,580,139,543,704
87,903,61,809,160
178,947,48,457,329
610,779,173,78,5
732,253,614,756,886
525,609,906,445,950
595,89,579,456,314
919,232,143,685,338
816,129,106,566,95
941,977,267,653,186
815,993,568,267,990
268,631,365,965,980
923,291,253,876,547
187,936,170,581,379
512,207,440,192,345
771,992,741,952,678
799,146,875,783,927
470,120,375,887,769
888,483,229,43,3
977,453,50,604,764
117,849,180,160,406
84,753,251,180,302
689,189,662,991,649
187,582,271,734,311
293,131,131,841,621
996,127,384,559,869
145,175,722,16,83
555,977,11,766,597
289,901,796,182,149
861,129,821,51,852
56,79,239,614,915
412,718,779,149,191
16,636,886,932,18
794,738,669,914,683
969,75,506,913,683
887,375,852,230,213
283,132,634,791,848
981,663,101,515,114
990,461,59,563,532
175,457,615,553,206
771,88,668,761,672
721,336,192,684,642
977,363,880,904,795
973,378,725,773,820
827,311,200,692,613
133,876,724,536,662
341,606,553,741,74
193,499,763,411,748
302,158,276,974,355
641,996,961,276,926
600,138,413,528,545
744,581,668,690,956
582,593,114,672,201
932,413,645,305,480
858,404,357,649,593
531,87,730,4,314
916,280,889,410,128
785,285,12,744,734
889,436,301,379,341
735,484,993,232,523
379,947,740,894,540
778,869,654,320,57
101,439,191,568,906
553,966,796,42,546
551,634,68,552,454
599,773,193,561,137
454,825,921,322,491
522,465,418,471,935
314,344,873,936,41
581,7,968,129,170
790,391,965,173,731
156,856,597,206,407
176,715,689,508,793
683,958,845,335,976
187,710,714,970,471
758,426,313,904,782
727,243,134,655,693
943,400,641,410,162
22,770,367,9,210
561,187,518,331,117
777,760,382,780,514
376,962,155,275,263
339,811,451,221,666
94,140,61,515,307
428,845,75,76,800
633,479,344,759,813
294,465,221,810,462
579,576,693,936,544
553,706,977,791,627
612,610,91,345,827
944,927,517,31,826
29,243,345,637,486
396,301,700,733,534
461,198,588,157,911
121,70,461,807,112
630,64,57,425,557
935,574,939,354,874
426,172,854,538,942
397,822,259,45,671
192,783,814,235,251
755,4,475,436,180
598,497,690,289,22
896,222,792,150,402
856,534,437,586,738
398,199,914,791,14
996,457,667,360,851
353,996,931,805,504
753,483,154,414,532
746,561,565,83,519
353,448,350,422,964
833,471,216,589,877
655,18,736,797,318
916,355,291,911,502
166,449,677,748,141
107,875,621,601,51
58,271,412,309,34
146,279,113,9,16
148,912,233,247,353
228,475,77,799,864
981,357,722,444,957
879,782,51,737,487
473,956,781,158,549
788,856,542,944,482
47,904,94,57,492
706,594,921,784,334
200,685,401,505,353
276,652,589,453,997
47,35,92,954,845
130,918,313,808,469
361,919,81,928,290
988,962,235,154,989
292,581,994,139,536
698,21,817,37,10
54,705,286,904,764
140,926,409,212,674
54,910,191,782,789
516,304,820,627,657
385,284,52,326,81
537,54,298,446,152
90,323,829,969,109
178,4,9,42,309
613,228,106,626,443
38,704,947,35,302
599,189,727,752,504
220,74,35,884,450
252,473,411,702,346
469,147,82,507,891
586,113,98,850,36
794,41,312,267,464
182,632,819,191,755
182,354,747,155,706
382,356,423,164,19
890,344,167,327,842
254,369,540,480,853
557,273,659,109,372
19,531,799,1,48
369,278,755,923,795
654,799,181,220,598
928,366,559,532,28
955,621,260,957,624
556,456,462,868,449
139,64,576,881,697
462,943,797,186,277
849,691,628,449,373
21,770,253,430,459
773,731,520,206,998
115,427,685,929,431
242,742,430,32,459
863,381,144,353,71
662,975,625,847,44
341,761,46,71,610
267,446,895,323,612
282,994,751,740,848
382,288,596,6,87
475,900,323,918,641
793,313,94,640,996
374,395,209,667,252
391,429,413,171,183
729,569,531,888,574
168,8,930,403,724
634,363,812,131,176
355,815,942,989,608
37,337,924,79,537
687,656,581,169,253
364,922,596,81,642
316,784,912,31,211
679,575,382,756,597
836,808,258,611,455
512,179,560,511,747
601,712,689,405,810
806,637,779,588,445
901,247,643,294,190
289,697,162,433,380
189,625,560,706,86
588,434,99,965,11
771,787,900,774,424
105,582,329,301,148
356,144,372,961,354
947,893,998,822,714
559,250,905,122,122
409,339,997,509,137
341,631,230,68,696
96,471,662,92,119
845,963,532,130,955
499,941,826,454,269
504,757,323,459,628
944,868,655,511,954
112,492,230,302,982
12,701,30,903,431
736,94,325,663,448
642,383,905,218,51
506,299,11,924,901
223,447,259,575,613
877,748,879,981,850
538,313,263,461,799
944,83,408,356,735
25,13,442,874,813
243,386,41,142,477
763,181,382,52,43
616,342,331,716,267
283,603,186,362,655
995,496,647,493,288
935,255,4,675,242
577,587,659,714,679
615,264,688,455,508
384,871,692,783,205
998,646,796,600,679
814,939,57,29,551
865,49,706,701,179
265,947,88,655,576
494,230,825,978,105
142,425,566,770,567
547,789,811,263,661
824,298,719,613,423
228,626,802,754,641
24,853,301,536,462
372,433,171,292,393
374,32,519,314,664
242,68,480,464,244
139,146,497,406,291
227,52,710,661,997
714,499,431,446,635
659,690,474,514,435
559,982,689,527,99
474,917,695,501,296
485,606,381,739,716
678,506,583,595,778
190,643,858,170,476
367,643,738,58,366
647,948,59,113,373
572,818,8,847,121
702,972,717,769,642
626,167,497,675,390
795,176,845,997,713
984,726,144,430,406
909,608,273,107,867
688,297,67,162,789
348,659,181,431,402
381,191,839,809,919
19,480,260,674,193
627,344,479,312,463
773,914,487,206,578
533,186,960,752,840
870,706,113,803,172
889,4,911,723,411
356,26,212,638,843
752,348,92,972,349
199,287,644,442,585
370,659,126,51,891
108,535,915,192,360
718,487,453,152,694
945,988,26,852,519
628,679,530,107,565
759,323,201,424,828
834,889,952,99,227
753,713,515,416,190
888,479,943,248,886
466,503,408,164,996
540,727,541,766,667
990,736,398,898,8
218,723,950,98,781
197,970,40,8,410
955,989,257,3,422
891,549,861,505,81
437,463,673,676,728
90,311,715,441,776
994,166,525,499,806
222,966,438,312,724
523,151,418,65,233
366,863,135,225,191
566,549,28,590,859
200,258,645,52,796
23,452,381,713,798
899,649,880,252,602
499,940,690,480,469
221,269,919,510,740
734,864,569,426,408
708,455,124,902,789
351,892,850,766,324
5,832,211,541,332
108,560,688,374,810
511,983,932,623,808
4,799,446,967,720
387,318,820,555,250
674,509,497,186,177
549,721,257,545,656
3,877,825,952,269
382,726,565,604,160
892,864,602,922,187
709,130,576,636,743
237,170,307,417,410
38,391,578,879,591
712,659,503,691,802
696,141,244,578,830
797,252,474,171,552
925,629,145,161,45
592,722,536,964,702
704,63,56,488,670
238,105,276,348,910
913,481,470,788,896
292,721,718,493,911
236,230,324,522,917
528,483,339,723,18
614,476,80,691,798
646,437,215,70,620
206,434,159,250,120
79,965,661,710,688
156,943,53,627,244
313,904,369,756,331
320,829,925,154,213
712,634,430,968,441
29,250,547,990,130
50,794,546,800,378
728,619,705,553,153
285,470,194,212,355
72,690,444,410,676
546,279,415,399,479
351,852,723,558,844
778,584,779,257,376
90,333,757,16,752
538,649,903,128,141
712,855,615,263,925
906,844,184,823,934
392,226,790,938,272
323,469,433,21,116
580,65,425,915,536
105,429,104,818,451
182,616,196,355,909
416,743,604,362,422
523,1,540,921,87
692,96,270,497,178
682,375,115,251,195
184,480,591,535,358
643,386,232,543,825
582,178,794,264,639
884,815,1,399,413
879,160,784,305,296
822,106,817,692,226
157,807,878,213,887
79,869,955,848,839
671,703,63,12,831
185,191,796,975,163
487,765,236,613,710
519,668,236,921,134
756,907,573,959,366
32,898,999,929,906
304,250,55,526,453
421,647,612,823,633
769,459,854,454,85
711,86,582,988,341
871,290,618,311,816
716,882,460,191,855
269,25,499,21,112
960,498,841,738,174
395,372,929,992,850
364,41,577,982,357
54,232,295,608,635
89,606,173,534,374
938,528,789,934,322
325,452,345,631,283
776,979,481,254,949
1,16,655,504,709
752,141,597,596,275
969,821,760,796,881
965,93,489,538,865
299,803,133,771,245
378,491,131,919,409
603,236,78,508,920
121,692,296,734,193
103,554,846,37,419
505,605,636,504,174
56,719,36,926,433
990,503,392,133,50
541,945,336,257,481
887,703,281,853,889
481,547,327,128,123
454,143,227,816,916
591,963,242,752,458
153,847,952,441,192
236,483,880,963,340
482,273,342,244,64
747,126,870,200,810
185,560,928,522,766
294,520,329,626,323
25,85,789,174,746
113,864,765,283,125
931,12,462,492,379
165,215,662,112,253
398,394,19,133,796
270,456,702,52,167
842,510,243,449,849
831,189,52,563,948
73,594,38,840,872
902,632,426,380,296
713,166,326,299,111
969,377,728,846,535
580,329,978,881,759
395,114,478,749,440
838,736,330,312,29
919,612,134,743,758
940,598,494,465,338
777,685,440,349,300
638,575,56,666,750
119,550,654,149,834
787,438,813,990,965
635,930,396,588,527
714,829,760,539,664
975,821,834,4,230
123,731,294,46,522
563,369,477,479,309
88,172,73,0,114
0,774,57,654,9
166,422,263,298,569
642,522,517,506,698
641,293,517,168,2
792,111,90,870,67
902,553,979,542,114
101,445,47,394,711
483,726,804,742,560
425,652,413,9,239
889,713,750,237,179
444,911,920,590,488
221,743,788,479,788
985,59,575,945,634
456,143,141,937,910
132,291,222,757,413
782,419,801,263,654
629,833,822,919,613
807,395,813,27,652
101,433,117,511,480
420,543,75,583,304
489,941,734,614,423
803,117,515,950,401
389,389,765,486,364
289,592,388,937,859
549,598,739,155,416
29,980,581,481,101
833,147,19,722,148
313,723,455,250,393
395,538,716,784,378
481,246,493,698,395
786,89,937,582,704
864,195,634,486,901
693,658,281,229,48
850,946,295,288,357
164,988,978,993,152
527,8,956,476,314
644,910,367,304,233
133,113,617,980,820
822,501,355,432,162
959,262,899,468,285
688,544,625,180,232
824,879,792,790,52
167,677,114,665,120
976,581,712,692,659
66,942,905,6,548
608,935,110,533,886
96,839,181,103,24
121,900,178,331,490
812,749,160,382,417
508,645,616,919,370
551,49,360,303,848
894,894,355,271,918
979,598,955,613,145
667,330,266,174,64
231,37,243,960,303
715,131,294,461,315
255,491,594,40,745
534,277,61,422,771
301,567,260,711,288
217,384,769,925,567
763,31,499,812,611
985,705,817,892,480
296,886,483,881,246
971,601,299,520,661
533,862,651,572,865
933,167,606,169,859
111,898,466,323,849
356,331,186,210,356
743,970,656,941,605
111,474,186,791,294
16,911,755,585,512
161,99,416,681,552
903,832,765,817,338
464,729,334,882,943
757,158,939,153,982
543,230,622,930,310
262,863,293,289,953
566,183,220,260,749
257,790,646,245,538
475,630,704,163,377
510,116,29,547,621
597,556,402,746,893
370,665,684,2,459
993,534,496,106,923
913,615,120,214,729
838,220,120,411,872
814,389,694,649,282
251,330,876,248,267
287,211,300,288,63
796,369,385,181,220
465,27,700,427,520
832,667,683,635,550
934,570,216,263,463
36,376,803,265,384
837,834,713,380,590
107,65,147,446,432
774,818,259,718,972
185,767,313,840,537
898,148,583,993,224
6,100,389,189,316
637,973,671,271,697
414,843,958,484,660
374,222,751,255,802
885,882,632,727,551
249,64,328,16,386
889,779,511,198,339
16,26,938,148,126
13,766,327,490,131
347,903,509,489,674
377,582,236,992,492
237,415,945,278,564
674,339,365,752,887
903,105,519,409,736
649,134,147,659,355
280,178,921,514,996
695,702,814,418,118
886,32,420,412,801
765,480,946,767,977
768,448,54,186,380
539,117,905,249,790
368,383,749,283,277
886,104,947,41,634
874,270,86,515,284
15,726,282,356,634
567,430,453,279,282
57,269,560,506,102
224,349,215,552,370
725,616,961,795,418
940,654,591,53,454
602,440,626,144,463
806,914,659,240,441
584,704,318,306,538
618,197,322,141,30
866,327,576,736,910
142,289,331,958,629
190,909,275,656,805
861,369,252,339,49
415,226,90,129,448
763,387,931,995,264
6,711,47,824,913
16,222,148,443,955
152,110,971,501,297
456,858,801,613,580
437,210,841,884,542
433,419,757,38,744
366,513,834,155,445
465,223,329,159,557
796,786,202,117,187
990,57,985,346,51
479,181,358,330,112
737,539,491,132,770
492,954,967,375,578
299,158,608,841,550
388,721,581,399,554
697,834,787,578,116
308,122,204,174,203
37,814,926,233,872
319,771,779,459,168
562,626,567,428,679
251,385,712,525,438
35,175,417,449,939
183,380,157,788,663
707,613,65,881,713
362,71,794,184,568
805,87,654,812,242
592,756,967,426,586
848,722,859,957,175
412,243,857,751,659
835,295,136,178,135
381,82,425,678,870
525,512,754,559,545
522,53,963,822,579
84,956,723,531,949
389,218,9,819,627
807,825,583,83,91
324,673,634,868,40
908,313,834,826,128
300,126,212,985,708
879,341,633,678,49
993,515,995,717,42
461,928,832,249,165
898,42,693,297,282
875,573,758,462,398
352,720,881,566,848
116,487,502,577,820
525,638,365,165,856
889,914,652,553,769
968,593,247,342,992
33,857,296,462,479
607,618,610,460,73
405,78,740,785,398
779,172,134,144,65
464,359,64,441,995
807,59,254,123,9
24,203,214,811,763
906,912,80,120,510
728,350,22,110,442
945,349,867,128,595
632,948,535,617,245
5,692,390,104,328
223,420,48,445,790
769,368,171,730,606
35,601,374,217,728
982,442,838,917,767
871,388,518,18,780
679,664,88,536,631
857,332,438,494,347
272,739,931,100,372
341,107,177,138,122
855,502,230,518,310
740,319,208,918,671
800,995,822,126,932
769,178,346,445,363
848,485,864,398,342
625,171,822,843,46
498,230,704,581,40
514,920,533,737,552
919,793,53,290,92
34,935,108,765,842
581,568,284,193,17
336,854,784,98,502
551,575,15,214,4
613,505,623,307,933
411,911,54,252,32
875,138,237,421,492
89,491,215,373,635
416,941,780,653,801
586,55,717,540,499
368,620,69,469,971
695,752,84,824,846
751,733,781,329,17
870,408,861,567,956
751,130,772,367,998
343,384,775,814,712
879,992,257,311,504
74,220,289,178,826
716,757,183,878,665
348,678,275,927,98
144,950,245,534,601
578,371,168,557,593
897,10,282,864,455
257,635,836,682,446
695,655,297,437,913
967,326,370,689,200
587,774,677,265,274
877,324,43,457,649
631,549,539,891,871
962,6,281,56,854
662,766,287,989,784
423,145,961,473,237
995,297,711,532,970
222,545,134,542,650
344,882,107,143,253
307,974,564,439,967
975,978,966,934,882
768,147,786,422,424
747,112,221,517,781
400,622,345,227,488
34,26,643,891,803
381,683,14,384,408
124,727,919,151,900
896,865,411,654,488
537,601,172,4,481
380,23,992,955,489
68,144,937,426,216
524,5,354,341,979
626,311,138,878,286
81,733,639,595,962
641,891,3,63,72
902,81,977,142,919
768,977,685,294,743
385,668,167,30,145
691,235,554,992,997
677,235,394,990,425
754,53,90,671,218
513,209,644,378,748
745,20,834,584,704
638,99,761,423,405
791,142,195,314,225
301,82,873,862,398
240,953,944,643,883
898,684,800,433,865
303,125,391,584,498
487,724,893,979,130
362,602,185,542,372
622,43,117,276,892
865,335,677,425,99
184,993,104,808,446
584,69,193,108,838
667,331,18,34,301
79,48,613,278,227
697,480,836,12,25
514,428,443,712,460
843,242,733,175,924
644,775,20,623,571
26,100,231,902,540
290,469,197,605,671
827,353,299,297,72
986,174,904,931,426
941,197,288,960,362
656,740,106,744,12
557,88,347,97,203
714,767,349,611,478
718,682,765,227,591
897,571,522,43,931
280,898,38,695,818
245,663,765,66,647
740,455,745,29,79
477,436,970,261,659
449,76,105,930,54
184,106,559,846,481
652,556,409,800,341
452,973,224,768,921
14,841,362,232,822
616,651,867,733,989
439,442,355,650,212
138,731,131,275,265
583,873,304,592,285
29,754,97,782,558
849,349,689,91,352
923,719,939,446,738
692,131,932,618,487
492,579,626,180,712
188,865,79,529,620
783,13,393,333,222
639,604,924,62,742
418,844,214,379,435
535,263,706,468,100
577,222,22,778,796
417,465,918,188,808
337,840,870,888,423
403,255,648,114,605
633,556,68,794,767
494,2,826,886,210
205,152,685,27,385
123,855,739,572,779
556,504,7,350,276
33,237,330,523,52
543,650,277,711,771
300,643,97,426,79
832,635,142,30,8
851,117,585,759,22
862,599,831,551,604
538,122,294,830,552
580,833,47,953,72
167,104,888,651,929
169,606,961,315,624
744,933,287,700,64
101,782,940,703,71
321,879,724,34,50
932,396,914,437,974
569,276,312,722,769
412,720,558,148,208
384,596,604,812,256
519,190,33,910,840
444,374,455,224,480
74,56,819,781,735
834,353,472,666,442
337,777,641,572,979
172,131,240,579,636
581,600,102,655,576
889,188,947,691,228
794,538,870,789,685
644,898,158,352,176
503,189,716,297,317
270,937,261,343,815
801,754,922,509,559
543,945,364,589,779
340,205,231,578,97
730,253,502,201,986
826,799,409,338,181
477,435,33,458,814
39,421,888,659,826
74,781,952,338,456
583,625,265,241,146
404,746,757,670,472
269,997,606,375,46
555,758,757,3,306
860,839,111,378,751
200,435,524,499,386
129,524,480,652,825
748,656,351,144,413
747,922,500,732,489
599,852,774,59,833
180,178,713,218,479
493,343,561,854,6
651,355,422,768,994
353,365,840,964,704
293,793,601,294,317
714,432,248,199,898
969,381,271,121,533
579,491,221,567,7
58,897,50,759,197
827,11,254,773,39
263,394,736,842,135
777,887,440,676,499
40,279,564,808,686
2,318,594,639,739
821,584,681,919,588
106,333,462,428,131
321,664,311,224,296
523,554,715,722,951
565,866,209,634,8
207,749,15,885,232
10,663,973,937,917
821,135,484,279,361
524,19,584,598,346
374,306,51,11,92
912,712,22,285,701
547,75,101,359,210
833,573,320,86,674
848,913,286,371,392
129,689,956,728,505
896,212,364,462,101
222,490,346,362,904
451,160,842,483,615
497,252,569,835,818
137,726,282,535,818
375,453,328,469,857
873,367,442,119,387
310,196,755,115,376
416,812,558,710,662
619,433,853,105,404
167,105,762,960,564
625,579,307,446,124
17,334,743,866,956
459,276,742,274,297
390,776,412,35,769
344,468,471,46,210
205,852,300,128,731
146,526,51,544,798
114,16,766,681,871
112,694,672,440,299
740,592,680,209,16
602,270,18,402,203
143,985,880,914,206
183,759,653,717,210
693,182,854,445,604
510,158,149,741,618
199,333,146,627,610
819,950,393,7,699
639,581,351,721,851
30,289,466,984,675
37,191,198,201,985
848,509,262,412,446
208,482,954,701,830
973,591,108,368,338
827,261,449,88,963
484,564,824,880,664
564,218,734,727,663
779,593,902,672,417
100,503,331,138,278
311,149,975,82,917
636,883,184,137,712
596,4,153,888,524
960,573,360,447,91
620,528,451,336,849
124,780,508,895,991
795,113,252,539,345
403,65,877,117,150
996,368,279,997,301
647,10,304,95,98
197,617,855,483,116
724,830,218,905,167
29,862,633,174,281
783,529,101,427,799
